id,location,sub_locality,property_type,estimated_price_per_sqft,demand_level,roi_category,infrastructure_score,zone_type,growth_potential,best_for,remarks
LKO-PROP-10000,Aliganj,Aliganj - Sector I,Residential Plot,2566,High,Medium,7.0,Developed,Medium,Coaching|Retail,
LKO-PROP-10001,Gomti Nagar Phase 2,Gomti Nagar Phase 2 - Inner Circle,2BHK Apartment,2729,High,Medium,9.0,Premium,Medium,Residential,
LKO-PROP-10002,Hardoi Road,Hardoi Road - Phase 3,1BHK Apartment,2662,Medium,Medium,6.0,Developing,Medium,Transport Business,
LKO-PROP-10003,Nishatganj,Nishatganj - Sector J,Retail Shop,2954,Medium,Medium,7.0,Developed,Medium,Retail,
LKO-PROP-10004,Hardoi Road,Hardoi Road - Sector A,Independent House,2592,Medium,Medium,6.0,Developing,Medium,Transport Business,
LKO-PROP-10005,Outer Ring Road,Outer Ring Road - Sector E,2BHK Apartment,3858,Low,High,7.0,Outer Growth,Medium,Warehousing,
LKO-PROP-10006,La Martiniere Area,La Martiniere Area - Sector C,Warehouse space,3744,High,Medium,9.0,Premium,Medium,Schools|Institutions,
LKO-PROP-10007,Jankipuram Extension Phase 2,Jankipuram Extension Phase 2 - Sector I,2BHK Apartment,2652,Medium,High,6.0,Growth,Medium,Residential Growth,
LKO-PROP-10008,Munshi Pulia,Munshi Pulia - Sector E,3BHK Apartment,2910,High,Medium,7.0,Developed,Medium,Local Shops,
LKO-PROP-10009,Hardoi Road,Hardoi Road - Sector F,1BHK Apartment,3224,Medium,Medium,6.0,Developing,Medium,Transport Business,
LKO-PROP-10010,Kaiserbagh,Kaiserbagh - Sector B,Independent House,2756,High,Medium,8.0,Commercial Core,Medium,Legal|Offices,
LKO-PROP-10011,Kathauta Extension,Kathauta Extension - Phase 2,2BHK Apartment,2580,High,Medium,9.0,Premium,Medium,Cafes,
LKO-PROP-10012,Chinhat Extension Phase 3,Chinhat Extension Phase 3 - Sector J,2BHK Apartment,3829,High,High,7.0,Growth,Medium,Investment,
LKO-PROP-10013,Sultanpur Road,Sultanpur Road - Main Road,2BHK Apartment,2487,Medium,High,9.0,Growth,High,Warehousing|Expansion,Emerging area strong growth
LKO-PROP-10014,Chinhat Extension Phase 2,Chinhat Extension Phase 2 - Phase 3,Commercial Plot,2706,High,High,7.0,Growth,Medium,Shops,
LKO-PROP-10015,Lohia Path Area,Lohia Path Area - Sector E,2BHK Apartment,3684,Medium,Medium,8.0,Developed,Medium,Residential,
LKO-PROP-10016,Thakurganj,Thakurganj - Phase 2,Warehouse space,3839,Medium,Medium,6.0,Old City,Medium,Local Shops,
LKO-PROP-10017,Sarojini Nagar Phase 3,Sarojini Nagar Phase 3 - Main Road,1BHK Apartment,3245,Medium,High,7.0,Growth,Medium,Investment,
LKO-PROP-10018,Daliganj Extension,Daliganj Extension - Sector A,2BHK Apartment,3893,High,Medium,7.0,Central,Medium,Retail|Offices,
LKO-PROP-10019,Nawabganj,Nawabganj - Sector F,1BHK Apartment,2421,Medium,Medium,6.0,Residential,Medium,Local Shops,
LKO-PROP-10020,Tedhi Pulia Area,Tedhi Pulia Area - Phase 4,3BHK Apartment,2431,High,Medium,7.0,Developed,Medium,Shops|Retail,
LKO-PROP-10021,Sultanpur Bypass,Sultanpur Bypass - Extension,Warehouse space,2737,Medium,High,8.0,Growth,Medium,Expansion,
LKO-PROP-10022,Balaganj,Balaganj - Phase 2,Warehouse space,3588,Medium,Medium,5.0,Old City,Medium,Traditional Business,
LKO-PROP-10023,Patrakarpuram,Patrakarpuram - Phase 2,2BHK Apartment,3874,High,Medium,9.0,Commercial,Medium,Retail|Food,
LKO-PROP-10024,Bakshi Ka Talab,Bakshi Ka Talab - Sector B,Warehouse space,3522,Medium,High,6.0,Growth,Medium,Warehousing,
LKO-PROP-10025,South City Extension,South City Extension - Sector D,Residential Plot,3312,Medium,Medium,7.0,Planned,Medium,Housing,
LKO-PROP-10026,Krishna Nagar,Krishna Nagar - Sector A,Commercial Plot,3619,Medium,Medium,7.0,Residential,Medium,Local Retail,
LKO-PROP-10027,Rajajipuram,Rajajipuram - Inner Circle,Residential Plot,3387,High,Medium,6.0,Residential,Medium,Local Shops|Housing,
